execution_date,mse,r_squared,rmse,maturity
2005-01-01,1.107460322031651,-1.4840254985025534,1.0523594072519384,9.0 years
2005-02-01,1.3420752720182223,-1.9994474919755127,1.1584797244743743,9.0 years
2005-03-01,1.4463634315596263,-2.2490432668135076,1.2026485070708008,9.0 years
2005-04-01,1.1849603247492368,-1.6474098235056016,1.0885588292551014,9.0 years
2005-05-01,1.0712230296826897,-1.3474659124927086,1.034999048155451,9.0 years
2005-06-01,1.0594217717908887,-1.2205029307293533,1.02928216335021,9.0 years
2005-07-01,1.3905591864775857,-1.784250191926196,1.1792197362992132,9.0 years
2005-08-01,1.2903253364578822,-1.3741526049977577,1.135924881520729,9.0 years
2005-09-01,1.638599390650738,-1.8194304047032022,1.2800778846034089,9.0 years
2005-10-01,1.9740117949695617,-2.2382167889243965,1.4049953006930527,9.0 years
2005-11-01,2.003954375251732,-2.1867183842819387,1.4156109547653735,9.0 years
2005-12-01,1.906138691635146,-2.0167867296794366,1.3806298170165476,9.0 years
2006-01-01,2.080250404108271,-2.3021868541077497,1.4423073195779985,9.0 years
2006-02-01,2.1625947962337344,-2.461247737295785,1.4705763483184864,9.0 years
2006-03-01,2.560142138049855,-3.2034906166756185,1.6000444175240434,9.0 years
2006-04-01,2.8587834784633546,-3.865257569875979,1.6907937421410557,9.0 years
2006-05-01,3.079970554483198,-4.440173736464499,1.7549844883882018,9.0 years
2006-06-01,3.1508795864116115,-4.8379259535041825,1.7750717130334794,9.0 years
2006-07-01,2.9843744667139007,-4.633566310133072,1.7275342157867382,9.0 years
2006-08-01,2.7972146714338124,-4.069935923143172,1.6724875698891792,9.0 years
2006-09-01,2.799502095401294,-3.7391005557859485,1.6731712689982738,9.0 years
2006-10-01,2.892735423998352,-3.7040953781806056,1.7008043461839908,9.0 years
2006-11-01,2.826565601465683,-3.3994376282096317,1.6812393052345889,9.0 years
2006-12-01,3.393904722942575,-4.078011891525901,1.842255335978858,9.0 years
2007-01-01,3.753015997850098,-4.44073380717437,1.9372702438870262,9.0 years
2007-02-01,3.507275243845832,-3.946281235393684,1.872772074718606,9.0 years
2007-03-01,3.780190239977321,-4.34001457229444,1.9442711333498013,9.0 years
2007-04-01,3.881931638941254,-4.4043916152972065,1.9702618198963442,9.0 years
2007-05-01,4.671273014157916,-5.409592141070375,2.16131279877715,9.0 years
2007-06-01,5.1980241448161495,-6.243414725943822,2.279917574127659,9.0 years
2007-07-01,4.860382853081934,-5.700669732872967,2.2046275996371665,9.0 years
2007-08-01,4.618557158909717,-5.278591885593599,2.1490828645982263,9.0 years
2007-09-01,4.920154957581436,-5.714457585591414,2.218142231143313,9.0 years
2007-10-01,4.820239162276932,-5.636921212417817,2.195504307050417,9.0 years
